match,team1,team2,season,date,series,match_number,venue,player_of_match,winner,over,team,runs,runs_total
1001349 - Australia vs Sri Lanka,Australia,Sri Lanka,2016/17,2017-02-17,Sri Lanka in Australia T20I Series,1,Melbourne Cricket Ground,DAS Gunaratne,Sri Lanka,5,Australia,43,43
1001349 - Australia vs Sri Lanka,Australia,Sri Lanka,2016/17,2017-02-17,Sri Lanka in Australia T20I Series,1,Melbourne Cricket Ground,DAS Gunaratne,Sri Lanka,10,Australia,32,75
1001349 - Australia vs Sri Lanka,Australia,Sri Lanka,2016/17,2017-02-17,Sri Lanka in Australia T20I Series,1,Melbourne Cricket Ground,DAS Gunaratne,Sri Lanka,15,Australia,41,116
1001349 - Australia vs Sri Lanka,Australia,Sri Lanka,2016/17,2017-02-17,Sri Lanka in Australia T20I Series,1,Melbourne Cricket Ground,DAS Gunaratne,Sri Lanka,20,Australia,52,168
1001349 - Australia vs Sri Lanka,Australia,Sri Lanka,2016/17,2017-02-17,Sri Lanka in Australia T20I Series,1,Melbourne Cricket Ground,DAS Gunaratne,Sri Lanka,5,Sri Lanka,51,51
1001349 - Australia vs Sri Lanka,Australia,Sri Lanka,2016/17,2017-02-17,Sri Lanka in Australia T20I Series,1,Melbourne Cricket Ground,DAS Gunaratne,Sri Lanka,10,Sri Lanka,37,88
1001349 - Australia vs Sri Lanka,Australia,Sri Lanka,2016/17,2017-02-17,Sri Lanka in Australia T20I Series,1,Melbourne Cricket Ground,DAS Gunaratne,Sri Lanka,15,Sri Lanka,39,127
1001349 - Australia vs Sri Lanka,Australia,Sri Lanka,2016/17,2017-02-17,Sri Lanka in Australia T20I Series,1,Melbourne Cricket Ground,DAS Gunaratne,Sri Lanka,20,Sri Lanka,45,172
1001351 - Australia vs Sri Lanka,Australia,Sri Lanka,2016/17,2017-02-19,Sri Lanka in Australia T20I Series,2,"""Simonds Stadium",DAS Gunaratne,Sri Lanka,5,Australia,38,38
1001351 - Australia vs Sri Lanka,Australia,Sri Lanka,2016/17,2017-02-19,Sri Lanka in Australia T20I Series,2,"""Simonds Stadium",DAS Gunaratne,Sri Lanka,10,Australia,42,80
